home_id,home_link,kamers,prijs,wonen
Bouwnummer (Bouwnr. 11),https://funda.nl/koop/amsterdam/appartement-40219062-bouwnummer-bouwnr-11/,3 kamers,€ 595.000 v.o.n.,75 m²
De Voortuinen (Bouwnr. 10.2),https://funda.nl/koop/amsterdam/appartement-40298039-de-voortuinen-bouwnr-102/,3 kamers,€ 680.000 v.o.n.,83 m²
De Voortuinen (Bouwnr. 7.4),https://funda.nl/koop/amsterdam/appartement-40092395-de-voortuinen-bouwnr-74/,3 kamers,€ 629.000 v.o.n.,81 m²
De Voortuinen (Bouwnr. 8.6),https://funda.nl/koop/amsterdam/appartement-40166434-de-voortuinen-bouwnr-86/,4 kamers,€ 925.000 v.o.n.,122 m²
De Voortuinen (Bouwnr. 10.5),https://funda.nl/koop/amsterdam/appartement-40181460-de-voortuinen-bouwnr-105/,4 kamers,€ 1.075.000 v.o.n.,134 m²
De Voortuinen (Bouwnr. 8.3),https://funda.nl/koop/amsterdam/appartement-40166433-de-voortuinen-bouwnr-83/,3 kamers,€ 639.000 v.o.n.,81 m²
De Voortuinen (Bouwnr. 9.4),https://funda.nl/koop/amsterdam/appartement-40166428-de-voortuinen-bouwnr-94/,4 kamers,€ 920.000 v.o.n.,120 m²
De Voortuinen (Bouwnr. 9.5),https://funda.nl/koop/amsterdam/appartement-40166429-de-voortuinen-bouwnr-95/,5 kamers,€ 1.200.000 v.o.n.,153 m²
De Voortuinen (Bouwnr. 10.1),https://funda.nl/koop/amsterdam/appartement-40181468-de-voortuinen-bouwnr-101/,4 kamers,€ 770.000 v.o.n.,97 m²
De Voortuinen (Bouwnr. 2.9),https://funda.nl/koop/amsterdam/appartement-40111123-de-voortuinen-bouwnr-29/,4 kamers,€ 595.000 v.o.n.,84 m²
De Voortuinen (Bouwnr. 10.7),https://funda.nl/koop/verkocht/amsterdam/appartement-40181461-de-voortuinen-bouwnr-107/,4 kamers,€ 860.000 v.o.n.,105 m²
De Voortuinen (Bouwnr. 2.1),https://funda.nl/koop/verkocht/amsterdam/appartement-40090782-de-voortuinen-bouwnr-21/,4 kamers,€ 595.000 v.o.n.,89 m²
De Voortuinen (Bouwnr. 7.1),https://funda.nl/koop/verkocht/amsterdam/appartement-40092381-de-voortuinen-bouwnr-71/,4 kamers,€ 735.000 v.o.n.,97 m²
De Voortuinen (Bouwnr. 7.2),https://funda.nl/koop/verkocht/amsterdam/appartement-40092382-de-voortuinen-bouwnr-72/,4 kamers,€ 649.000 v.o.n.,83 m²
De Voortuinen (Bouwnr. 7.6),https://funda.nl/koop/verkocht/amsterdam/appartement-40092396-de-voortuinen-bouwnr-76/,4 kamers,€ 835.000 v.o.n.,104 m²
De Voortuinen (Bouwnr. 7.7),https://funda.nl/koop/verkocht/amsterdam/appartement-40092397-de-voortuinen-bouwnr-77/,4 kamers,€ 895.000 v.o.n.,113 m²
De Voortuinen (Bouwnr. 8.1),https://funda.nl/koop/verkocht/amsterdam/appartement-40166421-de-voortuinen-bouwnr-81/,3 kamers,€ 660.000 v.o.n.,84 m²
De Voortuinen (Bouwnr. 8.2),https://funda.nl/koop/verkocht/amsterdam/appartement-40166422-de-voortuinen-bouwnr-82/,4 kamers,€ 755.000 v.o.n.,98 m²
De Voortuinen (Bouwnr. 8.7),https://funda.nl/koop/verkocht/amsterdam/appartement-40166435-de-voortuinen-bouwnr-87/,4 kamers,€ 760.000 v.o.n.,94 m²
De Voortuinen (Bouwnr. 9.1),https://funda.nl/koop/verkocht/amsterdam/appartement-40166426-de-voortuinen-bouwnr-91/,4 kamers,€ 760.000 v.o.n.,97 m²
De Voortuinen (Bouwnr. 9.2),https://funda.nl/koop/verkocht/amsterdam/appartement-40166427-de-voortuinen-bouwnr-92/,3 kamers,€ 670.000 v.o.n.,84 m²
De Voortuinen (Bouwnr. 9.6),https://funda.nl/koop/verkocht/amsterdam/appartement-40166420-de-voortuinen-bouwnr-96/,3 kamers,€ 688.000 v.o.n.,84 m²
De Voortuinen (Bouwnr. 10.6),https://funda.nl/koop/amsterdam/appartement-40100202-de-voortuinen-bouwnr-106/,4 kamers,€ 560.000 v.o.n.,72 m²
De Voortuinen (Bouwnr. 2.2),https://funda.nl/koop/amsterdam/appartement-40100211-de-voortuinen-bouwnr-22/,3 kamers,€ 515.000 v.o.n.,73 m²
De Voortuinen (Bouwnr. 2.3),https://funda.nl/koop/amsterdam/appartement-40100212-de-voortuinen-bouwnr-23/,1 kamer,€ 287.500 v.o.n.,37 m²
De Voortuinen (Bouwnr. 2.4),https://funda.nl/koop/amsterdam/appartement-40100223-de-voortuinen-bouwnr-24/,1 kamer,€ 299.500 v.o.n.,37 m²
